Species,Area,Year,Catch
Black marlin,"Indian Ocean, Western",2016,6832.16
Black marlin,"Indian Ocean, Western",2017,1062.62
Black marlin,"Indian Ocean, Western",2018,3404.31
Black marlin,"Indian Ocean, Western",2019,3627.57
Black marlin,"Indian Ocean, Western",2020,3336.4
Black marlin,"Indian Ocean, Western",2021,1221.95
Black marlin,"Indian Ocean, Western",2022,1254.68
Black marlin,"Indian Ocean, Western",2023,5103.67
Black pomfret,"Indian Ocean, Eastern",2014,379.03
Black pomfret,"Indian Ocean, Eastern",2015,674.74
Black pomfret,"Indian Ocean, Eastern",2016,998.31
Black pomfret,"Indian Ocean, Eastern",2017,202.04
Black pomfret,"Indian Ocean, Eastern",2018,1360.8
Black pomfret,"Indian Ocean, Eastern",2019,804.22
Black pomfret,"Indian Ocean, Eastern",2020,357.43
Black pomfret,"Indian Ocean, Eastern",2021,1004.24
Black pomfret,"Indian Ocean, Eastern",2022,1105.83
Black pomfret,"Indian Ocean, Eastern",2023,1453.86
Black pomfret,"Indian Ocean, Western",2014,0
Black pomfret,"Indian Ocean, Western",2015,0
Black pomfret,"Indian Ocean, Western",2016,0
Black pomfret,"Indian Ocean, Western",2017,0
Black pomfret,"Indian Ocean, Western",2018,0
Black pomfret,"Indian Ocean, Western",2019,9613.82
Black pomfret,"Indian Ocean, Western",2020,14027.1
Black pomfret,"Indian Ocean, Western",2021,11593.34
Black pomfret,"Indian Ocean, Western",2022,12235.38
Black pomfret,"Indian Ocean, Western",2023,13133.11
Blue marlin,"Indian Ocean, Eastern",2014,0
Blue marlin,"Indian Ocean, Eastern",2015,0
Blue marlin,"Indian Ocean, Eastern",2016,0
Blue marlin,"Indian Ocean, Eastern",2017,0
Blue marlin,"Indian Ocean, Eastern",2018,0
Blue marlin,"Indian Ocean, Eastern",2019,6408.19
Blue marlin,"Indian Ocean, Eastern",2020,9349.9
Blue marlin,"Indian Ocean, Eastern",2021,7727.66
Blue marlin,"Indian Ocean, Eastern",2022,8155.62
Blue marlin,"Indian Ocean, Eastern",2023,9019.03
Blue marlin,"Indian Ocean, Western",2014,0.3
Blue marlin,"Indian Ocean, Western",2015,0.18
Blue marlin,"Indian Ocean, Western",2016,0.07
Blue marlin,"Indian Ocean, Western",2017,570.02
Blue marlin,"Indian Ocean, Western",2018,666.86
Blue marlin,"Indian Ocean, Western",2019,1245.01
Blue marlin,"Indian Ocean, Western",2020,1026.91
Blue marlin,"Indian Ocean, Western",2021,1050.14
Blue marlin,"Indian Ocean, Western",2022,744.81
Blue marlin,"Indian Ocean, Western",2023,1310.33
Bombay-duck,"Indian Ocean, Eastern",2014,700
Bombay-duck,"Indian Ocean, Eastern",2015,750
Bombay-duck,"Indian Ocean, Eastern",2016,815
Bombay-duck,"Indian Ocean, Eastern",2017,900
Bombay-duck,"Indian Ocean, Eastern",2018,951.99
Bombay-duck,"Indian Ocean, Eastern",2019,997.47
Bombay-duck,"Indian Ocean, Eastern",2020,1002.34
Bombay-duck,"Indian Ocean, Eastern",2021,1030.96
Bombay-duck,"Indian Ocean, Eastern",2022,1054.97
Bombay-duck,"Indian Ocean, Eastern",2023,1141.84
Bombay-duck,"Indian Ocean, Western",2014,7646
Bombay-duck,"Indian Ocean, Western",2015,7417
Bombay-duck,"Indian Ocean, Western",2016,9751
Bombay-duck,"Indian Ocean, Western",2017,9762
Bombay-duck,"Indian Ocean, Western",2018,7581.75
Bombay-duck,"Indian Ocean, Western",2019,7885.01
Bombay-duck,"Indian Ocean, Western",2020,5326.37
Bombay-duck,"Indian Ocean, Western",2021,4622.92
Bombay-duck,"Indian Ocean, Western",2022,3722.9
Bombay-duck,"Indian Ocean, Western",2023,4147.71
Brown seaweeds,"Indian Ocean, Western",2014,105000
Brown seaweeds,"Indian Ocean, Western",2015,103000
Brown seaweeds,"Indian Ocean, Western",2016,135200
Brown seaweeds,"Indian Ocean, Western",2017,135353
Brown seaweeds,"Indian Ocean, Western",2018,105123.25
Brown seaweeds,"Indian Ocean, Western",2019,109327.99
Brown seaweeds,"Indian Ocean, Western",2020,73851.63
Brown seaweeds,"Indian Ocean, Western",2021,64098.08
Brown seaweeds,"Indian Ocean, Western",2022,51619.1
Brown seaweeds,"Indian Ocean, Western",2023,63468
