Species,Area,Year,Catch
Goatfishes,"Indian Ocean, Western",2021,12130.45
Goatfishes,"Indian Ocean, Western",2022,11655.97
Goatfishes,"Indian Ocean, Western",2023,12151.75
Green seaweeds,"Indian Ocean, Western",2014,9685
Green seaweeds,"Indian Ocean, Western",2015,13470
Green seaweeds,"Indian Ocean, Western",2016,13376
Green seaweeds,"Indian Ocean, Western",2017,8971
Green seaweeds,"Indian Ocean, Western",2018,8356.47
Green seaweeds,"Indian Ocean, Western",2019,10030.86
Green seaweeds,"Indian Ocean, Western",2020,8820.79
Green seaweeds,"Indian Ocean, Western",2021,9600.55
Green seaweeds,"Indian Ocean, Western",2022,9225.03
Green seaweeds,"Indian Ocean, Western",2023,9659.13
Groupers NEI,"Indian Ocean, Eastern",2014,11340
Groupers NEI,"Indian Ocean, Eastern",2015,11200
Groupers NEI,"Indian Ocean, Eastern",2016,12350
Groupers NEI,"Indian Ocean, Eastern",2017,11788.2
Groupers NEI,"Indian Ocean, Eastern",2018,9561.41
Groupers NEI,"Indian Ocean, Eastern",2019,9709.48
Groupers NEI,"Indian Ocean, Eastern",2020,12992.67
Groupers NEI,"Indian Ocean, Eastern",2021,12759.13
Groupers NEI,"Indian Ocean, Eastern",2022,16159.18
Groupers NEI,"Indian Ocean, Eastern",2023,17198
Groupers NEI,"Indian Ocean, Western",2014,0
Groupers NEI,"Indian Ocean, Western",2015,22850
Groupers NEI,"Indian Ocean, Western",2016,22700
Groupers NEI,"Indian Ocean, Western",2017,28613
Groupers NEI,"Indian Ocean, Western",2018,27291.23
Groupers NEI,"Indian Ocean, Western",2019,14065.6
Groupers NEI,"Indian Ocean, Western",2020,17897.72
Groupers NEI,"Indian Ocean, Western",2021,26379.1
Groupers NEI,"Indian Ocean, Western",2022,26005.55
Groupers NEI,"Indian Ocean, Western",2023,28709.86
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2014,0
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2015,20296
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2016,20081
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2017,25311
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2018,24141.77
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2019,12442.4
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2020,15832.28
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2021,23334.9
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2022,23004.45
"Hairtails, scabbardfishes NEI","Indian Ocean, Eastern",2023,26078.37
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2014,50405
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2015,44259
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2016,54200
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2017,59756
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2018,48388.49
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2019,54608.38
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2020,35878.07
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2021,35275.9
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2022,56560.18
"Hairtails, scabbardfishes NEI","Indian Ocean, Western",2023,59276.32
Halfbeaks NEI,"Indian Ocean, Eastern",2014,159000
Halfbeaks NEI,"Indian Ocean, Eastern",2015,133000
Halfbeaks NEI,"Indian Ocean, Eastern",2016,162900
Halfbeaks NEI,"Indian Ocean, Eastern",2017,179599
Halfbeaks NEI,"Indian Ocean, Eastern",2018,145433.51
Halfbeaks NEI,"Indian Ocean, Eastern",2019,164127.62
Halfbeaks NEI,"Indian Ocean, Eastern",2020,107832.93
Halfbeaks NEI,"Indian Ocean, Eastern",2021,106023.1
Halfbeaks NEI,"Indian Ocean, Eastern",2022,169993.82
Halfbeaks NEI,"Indian Ocean, Eastern",2023,186162.02
Halfbeaks NEI,"Indian Ocean, Western",2014,4400
Halfbeaks NEI,"Indian Ocean, Western",2015,3500
Halfbeaks NEI,"Indian Ocean, Western",2016,3760
Halfbeaks NEI,"Indian Ocean, Western",2017,5300
Halfbeaks NEI,"Indian Ocean, Western",2018,4709.69
Halfbeaks NEI,"Indian Ocean, Western",2019,3925.08
Halfbeaks NEI,"Indian Ocean, Western",2020,2928.68
Halfbeaks NEI,"Indian Ocean, Western",2021,4009.79
Halfbeaks NEI,"Indian Ocean, Western",2022,4647.16
Halfbeaks NEI,"Indian Ocean, Western",2023,5188.14
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2014,2152
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2015,1704
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2016,1833
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2017,2583
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2018,2295.31
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2019,1912.92
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2020,1427.32
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2021,1954.21
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2022,2264.84
"Hard corals, madrepores NEI","Indian Ocean, Eastern",2023,2498.4
Hilsa shad,"Indian Ocean, Eastern",2014,4150
Hilsa shad,"Indian Ocean, Eastern",2015,4470
Hilsa shad,"Indian Ocean, Eastern",2016,4850
Hilsa shad,"Indian Ocean, Eastern",2017,5300
Hilsa shad,"Indian Ocean, Eastern",2018,5641.14
Hilsa shad,"Indian Ocean, Eastern",2019,5930.48
Hilsa shad,"Indian Ocean, Eastern",2020,5959.39
Hilsa shad,"Indian Ocean, Eastern",2021,6129.6
Hilsa shad,"Indian Ocean, Eastern",2022,6272.3
Hilsa shad,"Indian Ocean, Eastern",2023,17015.46
Hilsa shad,"Indian Ocean, Western",2014,4200
Hilsa shad,"Indian Ocean, Western",2015,16300
Hilsa shad,"Indian Ocean, Western",2016,73900
Hilsa shad,"Indian Ocean, Western",2017,50043
Hilsa shad,"Indian Ocean, Western",2018,15919.22
Hilsa shad,"Indian Ocean, Western",2019,11634.13
Hilsa shad,"Indian Ocean, Western",2020,7433.44
Hilsa shad,"Indian Ocean, Western",2021,6395.3
Hilsa shad,"Indian Ocean, Western",2022,8416.36
Hilsa shad,"Indian Ocean, Western",2023,9910.96
Indian mackerel,"Indian Ocean, Eastern",2014,1047
Indian mackerel,"Indian Ocean, Eastern",2015,4359
Indian mackerel,"Indian Ocean, Eastern",2016,19779
Indian mackerel,"Indian Ocean, Eastern",2017,13394
Indian mackerel,"Indian Ocean, Eastern",2018,4260.78
Indian mackerel,"Indian Ocean, Eastern",2019,3113.87
Indian mackerel,"Indian Ocean, Eastern",2020,1989.56
Indian mackerel,"Indian Ocean, Eastern",2021,1711.7
Indian mackerel,"Indian Ocean, Eastern",2022,2252.64
Indian mackerel,"Indian Ocean, Eastern",2023,2440.02
Indian mackerel,"Indian Ocean, Western",2014,106556
Indian mackerel,"Indian Ocean, Western",2015,106801
Indian mackerel,"Indian Ocean, Western",2016,111941
Indian mackerel,"Indian Ocean, Western",2017,129580
Indian mackerel,"Indian Ocean, Western",2018,128475.15
Indian mackerel,"Indian Ocean, Western",2019,74207.27
Indian mackerel,"Indian Ocean, Western",2020,81324.12
Indian mackerel,"Indian Ocean, Western",2021,96315.49
Indian mackerel,"Indian Ocean, Western",2022,147696.39
Indian mackerel,"Indian Ocean, Western",2023,173171.06
Indian oil sardine,"Indian Ocean, Eastern",2014,130500
Indian oil sardine,"Indian Ocean, Eastern",2015,131000
Indian oil sardine,"Indian Ocean, Eastern",2016,137300
Indian oil sardine,"Indian Ocean, Eastern",2017,158936
Indian oil sardine,"Indian Ocean, Eastern",2018,157580.85
Indian oil sardine,"Indian Ocean, Eastern",2019,91018.73
Indian oil sardine,"Indian Ocean, Eastern",2020,99747.88
Indian oil sardine,"Indian Ocean, Eastern",2021,118135.51
Indian oil sardine,"Indian Ocean, Eastern",2022,181156.61
Indian oil sardine,"Indian Ocean, Eastern",2023,206146
Indian oil sardine,"Indian Ocean, Western",2014,109684
Indian oil sardine,"Indian Ocean, Western",2015,54667
Indian oil sardine,"Indian Ocean, Western",2016,50392
Indian oil sardine,"Indian Ocean, Western",2017,69397
Indian oil sardine,"Indian Ocean, Western",2018,31974.17
Indian oil sardine,"Indian Ocean, Western",2019,29841.8
Indian oil sardine,"Indian Ocean, Western",2020,17081.96
Indian oil sardine,"Indian Ocean, Western",2021,17934.95
Indian oil sardine,"Indian Ocean, Western",2022,51680.49
Indian oil sardine,"Indian Ocean, Western",2023,55169.55
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2014,435000
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2015,211000
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2016,194600
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2017,267993
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2018,123475.84
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2019,115241.2
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2020,65966.04
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2021,69260.05
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2022,199576.51
Indo-Pacific king mackerel,"Indian Ocean, Eastern",2023,222612.24
Indo-Pacific king mackerel,"Indian Ocean, Western",2014,6286.23
Indo-Pacific king mackerel,"Indian Ocean, Western",2015,6180.88
Indo-Pacific king mackerel,"Indian Ocean, Western",2016,6450.55
Indo-Pacific king mackerel,"Indian Ocean, Western",2017,6754.84
Indo-Pacific king mackerel,"Indian Ocean, Western",2018,5525.07
Indo-Pacific king mackerel,"Indian Ocean, Western",2019,7770
Indo-Pacific king mackerel,"Indian Ocean, Western",2020,6797
Indo-Pacific king mackerel,"Indian Ocean, Western",2021,971.63
Indo-Pacific king mackerel,"Indian Ocean, Western",2022,7609.63
Indo-Pacific king mackerel,"Indian Ocean, Western",2023,6121
Indo-Pacific sailfish,"Indian Ocean, Eastern",2014,11968.77
Indo-Pacific sailfish,"Indian Ocean, Eastern",2015,10917.12
Indo-Pacific sailfish,"Indian Ocean, Eastern",2016,10659.45
Indo-Pacific sailfish,"Indian Ocean, Eastern",2017,11410.16
Indo-Pacific sailfish,"Indian Ocean, Eastern",2018,9576.21
Indo-Pacific sailfish,"Indian Ocean, Eastern",2019,8509
Indo-Pacific sailfish,"Indian Ocean, Eastern",2020,6979
Indo-Pacific sailfish,"Indian Ocean, Eastern",2021,1210.87
Indo-Pacific sailfish,"Indian Ocean, Eastern",2022,7706.36
Indo-Pacific sailfish,"Indian Ocean, Eastern",2023,7459
Indo-Pacific sailfish,"Indian Ocean, Western",2014,3726.59
Indo-Pacific sailfish,"Indian Ocean, Western",2015,5944.3
Indo-Pacific sailfish,"Indian Ocean, Western",2016,6380.22
Indo-Pacific sailfish,"Indian Ocean, Western",2017,6182.21
Indo-Pacific sailfish,"Indian Ocean, Western",2018,5274.68
Indo-Pacific sailfish,"Indian Ocean, Western",2019,4280.11
Indo-Pacific sailfish,"Indian Ocean, Western",2020,2385.03
Indo-Pacific sailfish,"Indian Ocean, Western",2021,4495.31
Indo-Pacific sailfish,"Indian Ocean, Western",2022,3955.97
Indo-Pacific sailfish,"Indian Ocean, Western",2023,2030
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2014,403.47
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2015,608.97
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2016,648.19
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2017,658.62
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2018,4751.44
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2019,4419.41
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2020,1053
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2021,3525.28
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2022,3102.43
Jack and horse mackerels NEI,"Indian Ocean, Eastern",2023,4120
Jack and horse mackerels NEI,"Indian Ocean, Western",2014,0
Jack and horse mackerels NEI,"Indian Ocean, Western",2015,12810
Jack and horse mackerels NEI,"Indian Ocean, Western",2016,13936
Jack and horse mackerels NEI,"Indian Ocean, Western",2017,18133
Jack and horse mackerels NEI,"Indian Ocean, Western",2018,17102.19
Jack and horse mackerels NEI,"Indian Ocean, Western",2019,16877.12
Jack and horse mackerels NEI,"Indian Ocean, Western",2020,13411.66
Jack and horse mackerels NEI,"Indian Ocean, Western",2021,14929.26
Jack and horse mackerels NEI,"Indian Ocean, Western",2022,12357.48
Jack and horse mackerels NEI,"Indian Ocean, Western",2023,14482.93
"Jacks, crevalles NEI","Indian Ocean, Eastern",2014,0
"Jacks, crevalles NEI","Indian Ocean, Eastern",2015,23700
"Jacks, crevalles NEI","Indian Ocean, Eastern",2016,26000
"Jacks, crevalles NEI","Indian Ocean, Eastern",2017,33831
"Jacks, crevalles NEI","Indian Ocean, Eastern",2018,31907.81
"Jacks, crevalles NEI","Indian Ocean, Eastern",2019,31487.88
"Jacks, crevalles NEI","Indian Ocean, Eastern",2020,25022.34
"Jacks, crevalles NEI","Indian Ocean, Eastern",2021,27912.33
"Jacks, crevalles NEI","Indian Ocean, Eastern",2022,23055.52
"Jacks, crevalles NEI","Indian Ocean, Eastern",2023,25693.35
"Jacks, crevalles NEI","Indian Ocean, Western",2014,19135
"Jacks, crevalles NEI","Indian Ocean, Western",2015,21007
"Jacks, crevalles NEI","Indian Ocean, Western",2016,22566
"Jacks, crevalles NEI","Indian Ocean, Western",2017,42201
"Jacks, crevalles NEI","Indian Ocean, Western",2018,34231.74
"Jacks, crevalles NEI","Indian Ocean, Western",2019,35226.64
"Jacks, crevalles NEI","Indian Ocean, Western",2020,32755.85
"Jacks, crevalles NEI","Indian Ocean, Western",2021,43361.46
"Jacks, crevalles NEI","Indian Ocean, Western",2022,38119.01
"Jacks, crevalles NEI","Indian Ocean, Western",2023,40596.87
Kawakawa,"Indian Ocean, Western",2014,10359.42
Kawakawa,"Indian Ocean, Western",2015,10431.01
Kawakawa,"Indian Ocean, Western",2016,10976.69
Kawakawa,"Indian Ocean, Western",2017,8697.32
Kawakawa,"Indian Ocean, Western",2018,5856.76
Kawakawa,"Indian Ocean, Western",2019,15608
Kawakawa,"Indian Ocean, Western",2020,7188
Kawakawa,"Indian Ocean, Western",2021,5535.13
Kawakawa,"Indian Ocean, Western",2022,8750.58
Kawakawa,"Indian Ocean, Western",2023,9016
Lizardfishes NEI,"Indian Ocean, Eastern",2014,0
Lizardfishes NEI,"Indian Ocean, Eastern",2015,0
Lizardfishes NEI,"Indian Ocean, Eastern",2016,0
Lizardfishes NEI,"Indian Ocean, Eastern",2017,0
Lizardfishes NEI,"Indian Ocean, Eastern",2018,0
Lizardfishes NEI,"Indian Ocean, Eastern",2019,0
Lizardfishes NEI,"Indian Ocean, Eastern",2020,0
Lizardfishes NEI,"Indian Ocean, Eastern",2021,0
Lizardfishes NEI,"Indian Ocean, Eastern",2022,0
Lizardfishes NEI,"Indian Ocean, Eastern",2023,0
Lizardfishes NEI,"Indian Ocean, Western",2014,19202
Lizardfishes NEI,"Indian Ocean, Western",2015,27838
Lizardfishes NEI,"Indian Ocean, Western",2016,33917
Lizardfishes NEI,"Indian Ocean, Western",2017,20677
Lizardfishes NEI,"Indian Ocean, Western",2018,25017.16
Lizardfishes NEI,"Indian Ocean, Western",2019,32603.58
Lizardfishes NEI,"Indian Ocean, Western",2020,26119.99
Lizardfishes NEI,"Indian Ocean, Western",2021,29326.19
Lizardfishes NEI,"Indian Ocean, Western",2022,27321.2
Lizardfishes NEI,"Indian Ocean, Western",2023,31328.62
Lobsters NEI,"Indian Ocean, Eastern",2014,35000
Lobsters NEI,"Indian Ocean, Eastern",2015,50000
Lobsters NEI,"Indian Ocean, Eastern",2016,60900
Lobsters NEI,"Indian Ocean, Eastern",2017,37126
Lobsters NEI,"Indian Ocean, Eastern",2018,44918.84
Lobsters NEI,"Indian Ocean, Eastern",2019,58540.42
Lobsters NEI,"Indian Ocean, Eastern",2020,46899.01
Lobsters NEI,"Indian Ocean, Eastern",2021,52655.81
Lobsters NEI,"Indian Ocean, Eastern",2022,49055.8
Lobsters NEI,"Indian Ocean, Eastern",2023,52127.55
Lobsters NEI,"Indian Ocean, Western",2014,1250
Lobsters NEI,"Indian Ocean, Western",2015,1600
Lobsters NEI,"Indian Ocean, Western",2016,2380
Lobsters NEI,"Indian Ocean, Western",2017,2290
Lobsters NEI,"Indian Ocean, Western",2018,1778.89
Lobsters NEI,"Indian Ocean, Western",2019,1336.57
Lobsters NEI,"Indian Ocean, Western",2020,1111.01
Lobsters NEI,"Indian Ocean, Western",2021,971.83
Lobsters NEI,"Indian Ocean, Western",2022,1285.38
Lobsters NEI,"Indian Ocean, Western",2023,1366.8
Longtail tuna,"Indian Ocean, Eastern",2014,318
Longtail tuna,"Indian Ocean, Eastern",2015,403
Longtail tuna,"Indian Ocean, Eastern",2016,596
Longtail tuna,"Indian Ocean, Eastern",2017,573
Longtail tuna,"Indian Ocean, Eastern",2018,445.11
Longtail tuna,"Indian Ocean, Eastern",2019,334.43
Longtail tuna,"Indian Ocean, Eastern",2020,277.99
Longtail tuna,"Indian Ocean, Eastern",2021,243.17
Longtail tuna,"Indian Ocean, Eastern",2022,321.62
Longtail tuna,"Indian Ocean, Eastern",2023,356.89
Longtail tuna,"Indian Ocean, Western",2014,1031.13
Longtail tuna,"Indian Ocean, Western",2015,709.5
Longtail tuna,"Indian Ocean, Western",2016,600.8
Longtail tuna,"Indian Ocean, Western",2017,548.37
Longtail tuna,"Indian Ocean, Western",2018,131.96
Longtail tuna,"Indian Ocean, Western",2019,88
Longtail tuna,"Indian Ocean, Western",2020,18
Longtail tuna,"Indian Ocean, Western",2021,1.3
Longtail tuna,"Indian Ocean, Western",2022,2.1
Longtail tuna,"Indian Ocean, Western",2023,0
Marine crabs NEI,"Indian Ocean, Eastern",2014,11258.58
Marine crabs NEI,"Indian Ocean, Eastern",2015,8858.5
Marine crabs NEI,"Indian Ocean, Eastern",2016,7489.2
Marine crabs NEI,"Indian Ocean, Eastern",2017,6800.63
Marine crabs NEI,"Indian Ocean, Eastern",2018,7546.34
Marine crabs NEI,"Indian Ocean, Eastern",2019,5764
Marine crabs NEI,"Indian Ocean, Eastern",2020,4032
Marine crabs NEI,"Indian Ocean, Eastern",2021,1705.93
Marine crabs NEI,"Indian Ocean, Eastern",2022,2753.9
Marine crabs NEI,"Indian Ocean, Eastern",2023,4347
Marine crabs NEI,"Indian Ocean, Western",2014,36800
Marine crabs NEI,"Indian Ocean, Western",2015,38000
Marine crabs NEI,"Indian Ocean, Western",2016,45400
Marine crabs NEI,"Indian Ocean, Western",2017,42835
Marine crabs NEI,"Indian Ocean, Western",2018,45940.26
Marine crabs NEI,"Indian Ocean, Western",2019,45014.31
Marine crabs NEI,"Indian Ocean, Western",2020,30879.15
Marine crabs NEI,"Indian Ocean, Western",2021,31046.56
Marine crabs NEI,"Indian Ocean, Western",2022,40211.54
Marine crabs NEI,"Indian Ocean, Western",2023,41655.92
Marine crustaceans NEI,"Indian Ocean, Eastern",2014,9261
Marine crustaceans NEI,"Indian Ocean, Eastern",2015,9464
Marine crustaceans NEI,"Indian Ocean, Eastern",2016,11279
Marine crustaceans NEI,"Indian Ocean, Eastern",2017,10642
Marine crustaceans NEI,"Indian Ocean, Eastern",2018,11413.74
Marine crustaceans NEI,"Indian Ocean, Eastern",2019,11183.69
Marine crustaceans NEI,"Indian Ocean, Eastern",2020,7671.85
Marine crustaceans NEI,"Indian Ocean, Eastern",2021,7713.44
Marine crustaceans NEI,"Indian Ocean, Eastern",2022,9990.46
Marine crustaceans NEI,"Indian Ocean, Eastern",2023,10867.62
Marine fishes NEI,"Indian Ocean, Western",2014,55635.56
Marine fishes NEI,"Indian Ocean, Western",2015,57094.07
Marine fishes NEI,"Indian Ocean, Western",2016,34176.44
Marine fishes NEI,"Indian Ocean, Western",2017,23442.1
Marine fishes NEI,"Indian Ocean, Western",2018,45780.98
Marine fishes NEI,"Indian Ocean, Western",2019,56980.17
Marine fishes NEI,"Indian Ocean, Western",2020,73511.45
Marine fishes NEI,"Indian Ocean, Western",2021,130062.2
Marine fishes NEI,"Indian Ocean, Western",2022,80558.82
Marine fishes NEI,"Indian Ocean, Western",2023,88240.9
Marine molluscs NEI,"Indian Ocean, Eastern",2014,94746.94
Marine molluscs NEI,"Indian Ocean, Eastern",2015,96544.93
Marine molluscs NEI,"Indian Ocean, Eastern",2016,58220.76
Marine molluscs NEI,"Indian Ocean, Eastern",2017,39934.44
Marine molluscs NEI,"Indian Ocean, Eastern",2018,77989.49
Marine molluscs NEI,"Indian Ocean, Eastern",2019,97067.7
Marine molluscs NEI,"Indian Ocean, Eastern",2020,125227.99
Marine molluscs NEI,"Indian Ocean, Eastern",2021,221563.14
Marine molluscs NEI,"Indian Ocean, Eastern",2022,137233.3
Marine molluscs NEI,"Indian Ocean, Eastern",2023,147351.22
Marine molluscs NEI,"Indian Ocean, Western",2014,77000
Marine molluscs NEI,"Indian Ocean, Western",2015,55200
Marine molluscs NEI,"Indian Ocean, Western",2016,48650
Marine molluscs NEI,"Indian Ocean, Western",2017,58172.85
Marine molluscs NEI,"Indian Ocean, Western",2018,75943.57
Marine molluscs NEI,"Indian Ocean, Western",2019,65484.74
Marine molluscs NEI,"Indian Ocean, Western",2020,61723.47
Marine molluscs NEI,"Indian Ocean, Western",2021,57940.76
Marine molluscs NEI,"Indian Ocean, Western",2022,68262.1
Marine molluscs NEI,"Indian Ocean, Western",2023,78349.71
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2014,63014
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2015,45184
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2016,39808
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2017,47601.15
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2018,62142.43
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2019,53584.26
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2020,50506.53
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2021,47411.24
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2022,55856.9
"Marlins,sailfishes,etc. NEI","Indian Ocean, Eastern",2023,59921.89
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2014,29
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2015,51
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2016,97
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2017,81
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2018,0
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2019,0
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2020,0
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2021,0
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2022,0
"Marlins,sailfishes,etc. NEI","Indian Ocean, Western",2023,0
Mullets NEI,"Indian Ocean, Eastern",2014,4880
Mullets NEI,"Indian Ocean, Eastern",2015,5250
Mullets NEI,"Indian Ocean, Eastern",2016,5700
Mullets NEI,"Indian Ocean, Eastern",2017,6200
Mullets NEI,"Indian Ocean, Eastern",2018,6619.3
Mullets NEI,"Indian Ocean, Eastern",2019,6964.66
Mullets NEI,"Indian Ocean, Eastern",2020,6998.62
Mullets NEI,"Indian Ocean, Eastern",2021,7198.5
Mullets NEI,"Indian Ocean, Eastern",2022,7366.09
Mullets NEI,"Indian Ocean, Eastern",2023,8487.82
Mullets NEI,"Indian Ocean, Western",2014,5100
Mullets NEI,"Indian Ocean, Western",2015,6000
Mullets NEI,"Indian Ocean, Western",2016,6008
Mullets NEI,"Indian Ocean, Western",2017,5989
Mullets NEI,"Indian Ocean, Western",2018,4281.09
Mullets NEI,"Indian Ocean, Western",2019,10890.94
Mullets NEI,"Indian Ocean, Western",2020,6530.64
Mullets NEI,"Indian Ocean, Western",2021,5792.11
Mullets NEI,"Indian Ocean, Western",2022,7926.24
Mullets NEI,"Indian Ocean, Western",2023,8313.21
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2014,1692
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2015,1954
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2016,1956
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2017,1950
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2018,1393.91
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2019,3546.06
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2020,2126.36
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2021,1885.89
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2022,2580.76
Narrow-barred Spanish mackerel,"Indian Ocean, Eastern",2023,6311
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2014,11873.61
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2015,16264.15
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2016,15939.59
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2017,12289
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2018,11385.66
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2019,16694
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2020,11887
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2021,18438.75
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2022,13580.68
Narrow-barred Spanish mackerel,"Indian Ocean, Western",2023,10914
Natantian decapods NEI,"Indian Ocean, Eastern",2014,24000
Natantian decapods NEI,"Indian Ocean, Eastern",2015,25750
Natantian decapods NEI,"Indian Ocean, Eastern",2016,27950
Natantian decapods NEI,"Indian Ocean, Eastern",2017,30500
Natantian decapods NEI,"Indian Ocean, Eastern",2018,32527.51
Natantian decapods NEI,"Indian Ocean, Eastern",2019,34178.59
Natantian decapods NEI,"Indian Ocean, Eastern",2020,34345.26
Natantian decapods NEI,"Indian Ocean, Eastern",2021,35326.17
Natantian decapods NEI,"Indian Ocean, Eastern",2022,36148.59
Natantian decapods NEI,"Indian Ocean, Eastern",2023,38665.42
Natantian decapods NEI,"Indian Ocean, Western",2014,49405
Natantian decapods NEI,"Indian Ocean, Western",2015,40101
Natantian decapods NEI,"Indian Ocean, Western",2016,45558
Natantian decapods NEI,"Indian Ocean, Western",2017,54476
Natantian decapods NEI,"Indian Ocean, Western",2018,52128.47
Natantian decapods NEI,"Indian Ocean, Western",2019,48391.56
Natantian decapods NEI,"Indian Ocean, Western",2020,27078.67
Natantian decapods NEI,"Indian Ocean, Western",2021,41895.48
Natantian decapods NEI,"Indian Ocean, Western",2022,39507.38
Natantian decapods NEI,"Indian Ocean, Western",2023,42284.24
"Octopuses, etc. NEI","Indian Ocean, Eastern",2014,134000
"Octopuses, etc. NEI","Indian Ocean, Eastern",2015,109000
"Octopuses, etc. NEI","Indian Ocean, Eastern",2016,124000
"Octopuses, etc. NEI","Indian Ocean, Eastern",2017,148272
"Octopuses, etc. NEI","Indian Ocean, Eastern",2018,141882.53
"Octopuses, etc. NEI","Indian Ocean, Eastern",2019,131711.45
"Octopuses, etc. NEI","Indian Ocean, Eastern",2020,73702.33
"Octopuses, etc. NEI","Indian Ocean, Eastern",2021,114030.52
"Octopuses, etc. NEI","Indian Ocean, Eastern",2022,107530.62
"Octopuses, etc. NEI","Indian Ocean, Eastern",2023,125830.62
"Octopuses, etc. NEI","Indian Ocean, Western",2014,0
"Octopuses, etc. NEI","Indian Ocean, Western",2015,1709
